Title,Date,Location,Business,Vacancy,Status,Duration,Job ID,Hours per Week,Minimum Salary,Maximum Salary,Duration of Salary,  NOC Number,NOC Title After Comparison,,,NOC Number Master List,NOC Title Master List
customer service adviser,21-May-20,Ancaster,Altig/AO,1 Vacancy,Permanent,Full time,,,"$40,000",,year,6552,Other customer and information services representatives,,,2224,Conservation and fishery officers
customer service adviser,21-May-20,Thunder Bay,Altig/AO,1 Vacancy,Permanent,Full time,,,"$60,000",,year,6552,Other customer and information services representatives,,,2225,Landscape and horticulture technicians and specialists
home child care provider,12-May-20,Windsor,"Sara Askarian, Seyed Navid Mellatshahi",1 Vacancy,Term or contract (ending:  2021-06-30),Full time,1462252,30,$15.00,,hour,4411,Home child care providers,,,2231,Civil engineering technologists and technicians
"mechanic, motor vehicle",21-May-20,Toronto,SAM'S GARAGE,1 Vacancy,Permanent,Full time,,,"$60,000",,year,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",,,2232,Mechanical engineering technologists and technicians
house cleaner,13-May-20,Whitby,Hire A Maid,5 Vacancies,Permanent,Part time leading to full time,1465729,20 to 37,$15.00,$22.00,hour,6731,Light duty cleaners,,,2233,Industrial engineering and manufacturing technologists and technicians
automotives sales consultant,26-May-20,Niagara Falls,NIAGARA CHRYSLER DODGE JEEP INC,1 Vacancy,25% per piece,Permanent,1472424,,,,,6421,Retail salespersons,,,2234,Construction estimators
customer service adviser,21-May-20,Barrie,Altig/AO,1 Vacancy,Permanent,Full time,,,"$60,000",,year,6552,Other customer and information services representatives,,,2241,Electrical and electronics engineering technologists and technicians
apprentice construction electrician,11-May-20,Stoney Creek,Mo & Charles Inc,1 Vacancy,Permanent,Full time,1465056,30 to 60,$27.50,,hour,7241,Electricians (except industrial and power system),,,2242,Electronic service technicians (household and business equipment)
bread baker,11-May-20,Mississauga,TRIGO BAKERY,1 Vacancy,Permanent,Full time,1464560,40 to 60,$26.00,,hour,6332,Bakers,,,2243,Industrial instrument technicians and mechanics
machine fitter,11-May-20,Mississauga,DiPaolo Machine Tools Ltd,1 Vacancy,Permanent,Full time,1463583,40,$28.75,,hour,7316,Machine fitters,,,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
administrative assistant,11-May-20,Kingston,EZ STAK INC.,1 Vacancy,Permanent,Full time,1463589,35 to 40,$22.00,,hour,1241,Administrative assistants,,,2251,Architectural technologists and technicians
"engineer, software",13-May-20,Toronto,Expandit Inc,1 Vacancy,Permanent,Full time,,,"$100,000",,year,2173,Software engineers and designers,,,2252,Industrial designers
general construction labourer,13-May-20,Alsfeldt,HBM Machinecraft,1 Vacancy,Permanent,Full time,,,$17.00,,hour,7611,Construction trades helpers and labourers,,,2253,Drafting technologists and technicians
landscaping supervisor,08-May-20,Etobicoke,Islington Nurseries Ltd. ,1 Vacancy,Permanent,Full time,1463918,40 to 44,$22.00,$26.00,hour,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",,,2254,Land survey technologists and technicians
"sale executive, technical sales",08-May-20,Etobicoke,Islington Nurseries Ltd. ,1 Vacancy,Seasonal,Full time,1463928,40 to 44,$14.00,,hour,6221,Technical sales specialists - wholesale trade,,,2255,Technical occupations in geomatics and meteorology
front end loader operator,08-May-20,Etobicoke,Islington Nurseries Ltd. ,1 Vacancy,Seasonal,Full time,1463923,40 to 44,$19.00,$22.00,hour,7521,Heavy equipment operators (except crane),,,2261,Non-destructive testers and inspection technicians
warehouseperson,15-May-20,Toronto,Metro Ontario Inc.,1 Vacancy,Permanent,Full time,,,$17.25,,hour,7452,Material handlers,,,2262,Engineering inspectors and regulatory officers
Web marketing manager,08-May-20,Mississauga,Beneco Packaging,1 Vacancy,Permanent,Full time,1463412,40,$37.00,,hour,124,"Advertising, marketing and public relations managers",,,2263,Inspectors in public and environmental health and occupational health and safety
community and social services worker,12-May-20,Toronto,Homes First,1 Vacancy,Term or contract,Full time,,,$24.82,,hour,4212,Social and community service workers,,,2264,Construction inspectors
cashier,12-May-20,St. Catharines,Bulk Barn,2 Vacancies,Permanent,Part time,,,$14.00,,hour,6611,Cashiers,,,2271,"Air pilots, flight engineers and flying instructors"
retail store supervisor,12-May-20,St. Catharines,Bulk Barn,1 Vacancy,Permanent,Part time,,,$14.28,,hour,6211,Retail sales supervisors,,,2272,Air traffic controllers and related occupations
stock clerk - retail,12-May-20,Leamington,Bulk Barn,2 Vacancies,Permanent,Part time,,,$14.00,,hour,6622,"Store shelf stockers, clerks and order fillers",,,2273,"Deck officers, water transport"
stock clerk - retail,12-May-20,Stoney Creek,Bulk Barn,3 Vacancies,Permanent,Part time,,,$14.00,,hour,6622,"Store shelf stockers, clerks and order fillers",,,2274,"Engineer officers, water transport"
line cook,08-May-20,Port Elgin,The Queens Bar and Grill ,2 Vacancies,Permanent,Part time leading to full time,1463410,40,"$35,000","$45,000",year,6322,Cooks,,,2275,Railway traffic controllers and marine traffic regulators
RN (registered nurse),08-May-20,Penetanguishene,Waypoint Centre for Mental Health Care,10 Vacancies,Permanent,Part time leading to full time,1463109,1 to 75 hours bi-weekly,$39.33,$47.55,hour,3012,Registered nurses and registered psychiatric nurses,,,2281,Computer network technicians
merchandiser,07-May-20,Angus,Blaze Marketing Solutions,4 Vacancies,Permanent,Part time,1462366,1 to 28,$14.00,,hour,6222,Retail and wholesale buyers,,,2282,User support technicians
production operations manager,07-May-20,North York,All Season Fencing Ltd,1 Vacancy,Permanent,Full time,1462554,37.5,$42.50,$44.50,hour,911,Manufacturing managers,,,2283,Information systems testing technicians
child caregiver - private home,07-May-20,Etobicoke,CARA ALEXA CALUCAG,1 Vacancy,Permanent,Full time,1461779,35,$14.00,,hour,4411,Home child care providers,,,3011,Nursing co-ordinators and supervisors
construction project engineer,07-May-20,Nepean,Site Preparation Limited,2 Vacancies,Permanent,Full time,1459727,50 to 60,$34.87,,hour,2131,Civil engineers,,,3012,Registered nurses and registered psychiatric nurses
greenhouse worker,07-May-20,Kingsville,Mucci Farms,35 Vacancies,Permanent,Full time,1462621,60,$14.18,,hour,8432,Nursery and greenhouse workers,,,3111,Specialist physicians
sales representative - retail,28-May-20,Niagara Falls,Prime Communications Canada,1 Vacancy,Permanent,Full time,,,,,,6421,Retail salespersons,,,3112,General practitioners and family physicians
sales representative - retail,28-May-20,Richmond Hill,Prime Communications Canada,1 Vacancy,Permanent,Full time,,,,,,6421,Retail salespersons,,,3113,Dentists
sales representative - retail,28-May-20,Fort Erie,Prime Communications Canada,1 Vacancy,Permanent,Full time,,,,,,6421,Retail salespersons,,,3114,Veterinarians
labourer - rubber products manufacturing,06-May-20,Welland,Employment Professionals Canada,2 Vacancies,Term or contract,Full time,1462215,40,$15.40,,hour,9615,Labourers in rubber and plastic products manufacturing,,,3121,Optometrists
child caregiver - private home,07-May-20,Mississauga,TRAN FAMILY,1 Vacancy,Permanent,Full time,1462581,40,$16.00,,hour,4411,Home child care providers,,,3122,Chiropractors
roofer helper,06-May-20,Owen Sound,Steve Davis Roofing Ltd.,1 Vacancy,Seasonal,Full time,1462210,40,$16.00,$17.00,hour,7611,Construction trades helpers and labourers,,,3124,Allied primary health practitioners
"machinist, CNC (computer numerical control)",06-May-20,Scarborough,EM Dynamics Inc,1 Vacancy,Permanent,Full time,1461887,36 to 48,$18.00,$28.00,hour,7231,Machinists and machining and tooling inspectors,,,3125,Other professional occupations in health diagnosing and treating
sales supervisor,06-May-20,Scarborough,Highland Creek MedSpa,1 Vacancy,Permanent,Full time,1461936,40,$25.00,,hour,6211,Retail sales supervisors,,,3131,Pharmacists
painter,25-May-20,Mississauga,COVENANT GROUP LTD.,1 Vacancy,Permanent,Full time,,,,,,7294,Painters and decorators (except interior decorators),,,3132,Dietitians and nutritionists
"heating, ventilation and air conditioning (HVAC) mechanic",06-May-20,London,Home Comfort Center,1 Vacancy,Permanent,Full time,1462219,35 to 44,$18.00,$22.00,hour,7313,"Heating, refrigeration and air conditioning mechanics",,,3141,Audiologists and speech-language pathologists
logistics supervisor,06-May-20,Mississauga,LSI LOAD SOLUTIONS INC,1 Vacancy,Permanent,Full time,1461939,37.5,$24.50,,hour,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",,,3142,Physiotherapists
analyst-accountant,26-May-20,Mississauga,Sure Good Foods Ltd,1 Vacancy,Permanent,Full time,,,,,,1111,Financial auditors and accountants,,,3143,Occupational therapists
quality control engineer,26-May-20,Kitchener,Delego,1 Vacancy,Permanent,Full time,,,,,,2141,Industrial and manufacturing engineers,,,3144,Other professional occupations in therapy and assessment
purchase order clerk,21-May-20,Bolton,Home Depot,1 Vacancy,Term or contract,Part time,,,,,,1524,Purchasing and inventory control workers,,,3211,Medical laboratory technologists
logistics supervisor,06-May-20,Mississauga,Reliance Carriers Inc,1 Vacancy,Permanent,Full time,1461223,40,$24.00,,hour,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",,,3212,Medical laboratory technicians and pathologists' assistants
cook,06-May-20,Guelph,Swiss Chalet,1 Vacancy,Permanent,Full time,1461564,40,$14.50,,hour,6322,Cooks,,,3213,Animal health technologists and veterinary technicians
recruitment specialist,06-May-20,Thornhill,Centre Accounting and Tax Services,1 Vacancy,Permanent,Full time,1461128,35,$29.00,,hour,1223,Human resources and recruitment officers,,,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
carpenter,20-May-20,Niagara Falls,Modern Mosaic,1 Vacancy,Permanent,Full time,,,,,,7271,Carpenters,,,3215,Medical radiation technologists
restaurant supervisor,06-May-20,Bracebridge,Swiss Chalet/Harvey's,1 Vacancy,Permanent,Full time,1461565,30 to 40,$16.00,,hour,6311,Food service supervisors,,,3216,Medical sonographers
"manager, retail sales",11-May-20,Fort Erie,Altig/AO,1 Vacancy,Permanent,Full time,,,"$50,000",,year,621,Retail and wholesale trade managers,,,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
CNC (computer numerical control) machinist,05-May-20,Kingston,EZ STAK INC.,1 Vacancy,Permanent,Full time,1461338,35 to 40,$27.00,,hour,7231,Machinists and machining and tooling inspectors,,,3219,Other medical technologists and technicians (except dental health)
structural steelwork and platework fitter,05-May-20,Lively,Walden Welding and Mechanical,5 Vacancies,Permanent,Full time,1461160,40 to 72,$27.43,$33.43,hour,7235,Structural metal and platework fabricators and fitters,,,3221,Denturists
greenhouse worker,05-May-20,Ruthven,Hillside Hothouse Ltd,39 Vacancies,Permanent,Full time,1461510,40 to 65,$14.18,,hour,8432,Nursery and greenhouse workers,,,3222,Dental hygienists and dental therapists
shift manager - fast food restaurant,05-May-20,Brampton,Tim Horton's,1 Vacancy,Permanent,Full time,1461283,30 to 40,$14.50,,hour,6311,Food service supervisors,,,3223,"Dental technologists, technicians and laboratory assistants"
product manager,18-May-20,Toronto,Networkers,1 Vacancy,Permanent,Full time,,,,,,601,Corporate sales managers,,,3231,Opticians
child caregiver - private home,04-May-20,Toronto,Lindsay Brand,1 Vacancy,Permanent,Full time,1459812,40,$15.00,,hour,4411,Home child care providers,,,3232,Practitioners of natural healing
"operations manager - trade, broadcasting and other services",04-May-20,Burlington,Best Brands Stores,1 Vacancy,Permanent,Full time,1460831,40,$49.00,$51.00,hour,15,"Senior managers - trade, broadcasting and other services, n.e.c.",,,3233,Licensed practical nurses
3D artist,04-May-20,Ottawa,"THREEKIT TECHNOLOGIES, INC.",1 Vacancy,Permanent,Full time,,40,"$110,000",,year,5241,Graphic designers and illustrators,,,3234,Paramedical occupations
food service supervisor,04-May-20,Courtice,Subway,1 Vacancy,Permanent,Full time,1460113,37.5,$14.50,,hour,6311,Food service supervisors,,,3236,Massage therapists
hardware salesperson - retail,04-May-20,Orangeville,Orangeville Home Hardware Building Centre,2 Vacancies,Term or contract,Part time leading to full time,1459264,3 to 44,$14.25,$15.00,hour,6421,Retail salespersons,,,3237,Other technical occupations in therapy and assessment
sewing machine operators supervisor,04-May-20,Brampton,A-CLASS UPHOLSTERY LTD.,1 Vacancy,Permanent,Full time,1460400,35 to 40,$23.50,,hour,9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",,,3411,Dental assistants
cook,04-May-20,Windsor,Hurry Curry,1 Vacancy,Permanent,Full time,1460326,32,$22.50,,hour,6322,Cooks,,,3413,"Nurse aides, orderlies and patient service associates"
bending machine set-up operator - metal fabrication,04-May-20,Brampton,Manortool,1 Vacancy,Permanent,Full time,1461056,38.5,$19.00,$22.00,hour,9416,Metalworking and forging machine operators,,,3414,Other assisting occupations in support of health services
student services counsellor,04-May-20,Brampton,"Canadian College of Business, Science & Technology",1 Vacancy,Permanent,Full time,1460343,35,$33.00,,hour,4033,Educational counsellors,,,4011,University professors and lecturers
"estimator, construction",15-May-20,Toronto,Osborne,1 Vacancy,Permanent,Full time,,,,,,2234,Construction estimators,,,4012,Post-secondary teaching and research assistants
long haul truck driver,04-May-20,Mississauga,P & D FREIGHT LINES ,16 Vacancies,Permanent,Full time,1460437,40,$24.00,,hour,7511,Transport truck drivers,,,4021,College and other vocational instructors
food service supervisor,04-May-20,Stratford,Tim Hortons,2 Vacancies,Permanent,Full time,1460445,30 to 40,$15.00,$17.00,hour,6311,Food service supervisors,,,4031,Secondary school teachers
shingler,04-May-20,Coldwater,B.A. Roofing,3 Vacancies,Permanent,Full time,1460449,30 to 40,$26.00,,hour,7291,Roofers and shinglers,,,4032,Elementary school and kindergarten teachers
personal shopper,04-May-20,Burford,Caledon Produce Farms,2 Vacancies,Term or contract (ending:  2020-10-31),Full time,1461077,40 to 60,$16.00,,hour,6623,Other sales related occupations,,,4033,Educational counsellors
landscaper,04-May-20,Nepean,Manderley Turf Products Inc.,2 Vacancies,Seasonal,Full time,1460453,35 to 60,$16.00,$20.00,hour,2225,Landscape and horticulture technicians and specialists,,,4111,Judges
